Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Brekke I Sogn;SN52930;05.07.1939;3,7
Brekke I Sogn;SN52930;06.07.1939;0
Brekke I Sogn;SN52930;07.07.1939;12,2
Brekke I Sogn;SN52930;08.07.1939;2,6
Brekke I Sogn;SN52930;09.07.1939;5,3
Brekke I Sogn;SN52930;10.07.1939;5,9
Brekke I Sogn;SN52930;11.07.1939;1,3
Brekke I Sogn;SN52930;12.07.1939;0
Brekke I Sogn;SN52930;13.07.1939;0
Brekke I Sogn;SN52930;14.07.1939;0
Brekke I Sogn;SN52930;15.07.1939;2,3
Brekke I Sogn;SN52930;16.07.1939;0,1
Brekke I Sogn;SN52930;17.07.1939;4,2
Brekke I Sogn;SN52930;18.07.1939;5,1
Brekke I Sogn;SN52930;19.07.1939;23,3
Brekke I Sogn;SN52930;20.07.1939;5,8
Brekke I Sogn;SN52930;21.07.1939;0,8
Brekke I Sogn;SN52930;22.07.1939;0
Brekke I Sogn;SN52930;23.07.1939;6,8
Brekke I Sogn;SN52930;24.07.1939;4,4
Brekke I Sogn;SN52930;25.07.1939;26,2
Brekke I Sogn;SN52930;26.07.1939;2,1
Brekke I Sogn;SN52930;27.07.1939;0
Brekke I Sogn;SN52930;28.07.1939;0
Brekke I Sogn;SN52930;29.07.1939;13,4
Brekke I Sogn;SN52930;30.07.1939;19,9
Brekke I Sogn;SN52930;31.07.1939;23,1
Brekke I Sogn;SN52930;01.08.1939;18,3
Brekke I Sogn;SN52930;02.08.1939;14,1
Brekke I Sogn;SN52930;03.08.1939;0
Brekke I Sogn;SN52930;04.08.1939;5,3
Brekke I Sogn;SN52930;05.08.1939;0
Brekke I Sogn;SN52930;06.08.1939;0
Brekke I Sogn;SN52930;07.08.1939;0
Brekke I Sogn;SN52930;08.08.1939;5,9
Brekke I Sogn;SN52930;09.08.1939;1,2
Brekke I Sogn;SN52930;10.08.1939;0,2
Brekke I Sogn;SN52930;11.08.1939;45,1
Brekke I Sogn;SN52930;12.08.1939;15,7
Brekke I Sogn;SN52930;13.08.1939;18,5
Brekke I Sogn;SN52930;14.08.1939;0
Brekke I Sogn;SN52930;15.08.1939;0
Brekke I Sogn;SN52930;16.08.1939;14,5
Brekke I Sogn;SN52930;17.08.1939;0
Brekke I Sogn;SN52930;18.08.1939;0
Brekke I Sogn;SN52930;19.08.1939;0
Brekke I Sogn;SN52930;20.08.1939;0
Brekke I Sogn;SN52930;21.08.1939;0
Brekke I Sogn;SN52930;22.08.1939;21,2
Brekke I Sogn;SN52930;23.08.1939;27,1
Brekke I Sogn;SN52930;24.08.1939;0
Brekke I Sogn;SN52930;25.08.1939;0
Brekke I Sogn;SN52930;26.08.1939;1,5
Brekke I Sogn;SN52930;27.08.1939;0
Brekke I Sogn;SN52930;28.08.1939;0
Brekke I Sogn;SN52930;29.08.1939;0
Brekke I Sogn;SN52930;30.08.1939;0
Brekke I Sogn;SN52930;31.08.1939;0
Brekke I Sogn;SN52930;01.09.1939;0
Brekke I Sogn;SN52930;02.09.1939;0
Brekke I Sogn;SN52930;03.09.1939;0
Brekke I Sogn;SN52930;04.09.1939;0
Brekke I Sogn;SN52930;05.09.1939;0
Brekke I Sogn;SN52930;06.09.1939;0
Brekke I Sogn;SN52930;07.09.1939;0
Brekke I Sogn;SN52930;08.09.1939;12,1
Brekke I Sogn;SN52930;09.09.1939;74
Brekke I Sogn;SN52930;10.09.1939;17,9
Brekke I Sogn;SN52930;11.09.1939;0
Brekke I Sogn;SN52930;12.09.1939;0
Brekke I Sogn;SN52930;13.09.1939;0,2
Brekke I Sogn;SN52930;14.09.1939;49,5
Brekke I Sogn;SN52930;15.09.1939;0
Brekke I Sogn;SN52930;16.09.1939;0
Brekke I Sogn;SN52930;17.09.1939;0
Brekke I Sogn;SN52930;18.09.1939;0
Brekke I Sogn;SN52930;19.09.1939;0
Brekke I Sogn;SN52930;20.09.1939;0
Brekke I Sogn;SN52930;21.09.1939;2
Brekke I Sogn;SN52930;22.09.1939;0
Brekke I Sogn;SN52930;23.09.1939;0
Brekke I Sogn;SN52930;24.09.1939;0
Brekke I Sogn;SN52930;25.09.1939;1,1
Brekke I Sogn;SN52930;26.09.1939;8,8
Brekke I Sogn;SN52930;27.09.1939;0
Brekke I Sogn;SN52930;28.09.1939;0
Brekke I Sogn;SN52930;29.09.1939;14,9
Brekke I Sogn;SN52930;30.09.1939;17,4
Brekke I Sogn;SN52930;01.10.1939;0
Brekke I Sogn;SN52930;02.10.1939;0
Brekke I Sogn;SN52930;03.10.1939;0
